"KEY","Footprint","Datasheet","MFN","MFP","D1PN","D1PL","D2PN","D2PL"
"CAPA_470n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J474K050BB","445-4996","http://www.digikey.com/product-detail/en/C1005X5R0J474K050BB/445-4996-1-ND/2093611","_","_"
"CAPA_470n_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J474K050BB","445-4996","http://www.digikey.com/product-detail/en/C1005X5R0J474K050BB/445-4996-1-ND/2093611","_","_"
"CAPA_0.47u_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J474K050BB","445-4996","http://www.digikey.com/product-detail/en/C1005X5R0J474K050BB/445-4996-1-ND/2093611","_","_"
"CAPA_0.47u_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J474K050BB","445-4996","http://www.digikey.com/product-detail/en/C1005X5R0J474K050BB/445-4996-1-ND/2093611","_","_"
"CAPA_680n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J684K050BB","445-172459","http://www.digikey.com/product-detail/en/C1005X5R0J684K050BB/445-172459-1-ND/4990001","_","_"
"CAPA_680n_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J684K050BB","445-172459","http://www.digikey.com/product-detail/en/C1005X5R0J684K050BB/445-172459-1-ND/4990001","_","_"
"CAPA_0.68u_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J684K050BB","445-172459","http://www.digikey.com/product-detail/en/C1005X5R0J684K050BB/445-172459-1-ND/4990001","_","_"
"CAPA_0.68u_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J684K050BB","445-172459","http://www.digikey.com/product-detail/en/C1005X5R0J684K050BB/445-172459-1-ND/4990001","_","_"
"CAPA_1000n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J105K050BB","445-4998","http://www.digikey.com/product-detail/en/C1005X5R0J105K050BB/445-4998-1-ND/2093613","_","_"
"CAPA_1000n_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J105K050BB","445-4998","http://www.digikey.com/product-detail/en/C1005X5R0J105K050BB/445-4998-1-ND/2093613","_","_"
"CAPA_1u_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J105K050BB","445-4998","http://www.digikey.com/product-detail/en/C1005X5R0J105K050BB/445-4998-1-ND/2093613","_","_"
"CAPA_1u_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J105K050BB","445-4998","http://www.digikey.com/product-detail/en/C1005X5R0J105K050BB/445-4998-1-ND/2093613","_","_"
"CAPA_1u_0402_16_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J105K050BB","445-4998","http://www.digikey.com/product-detail/en/C1005X5R0J105K050BB/445-4998-1-ND/2093613","_","_"
"CAPA_1500n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J155K050BB","445-13815","http://www.digikey.com/product-detail/en/C1005X5R0J155K050BB/445-13815-1-ND/3955481","_","_"
"CAPA_1500n_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J155K050BB","445-13815","http://www.digikey.com/product-detail/en/C1005X5R0J155K050BB/445-13815-1-ND/3955481","_","_"
"CAPA_1.5u_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J155K050BB","445-13815","http://www.digikey.com/product-detail/en/C1005X5R0J155K050BB/445-13815-1-ND/3955481","_","_"
"CAPA_1.5u_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J155K050BB","445-13815","http://www.digikey.com/product-detail/en/C1005X5R0J155K050BB/445-13815-1-ND/3955481","_","_"
"CAPA_2200n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J225K050BC","445-6847","http://www.digikey.com/product-detail/en/C1005X5R0J225K050BC/445-6847-1-ND/2619209","_","_"
"CAPA_2200n_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J225K050BC","445-6847","http://www.digikey.com/product-detail/en/C1005X5R0J225K050BC/445-6847-1-ND/2619209","_","_"
"CAPA_2.2u_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J225K050BC","445-6847","http://www.digikey.com/product-detail/en/C1005X5R0J225K050BC/445-6847-1-ND/2619209","_","_"
"CAPA_2.2u_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J225K050BC","445-6847","http://www.digikey.com/product-detail/en/C1005X5R0J225K050BC/445-6847-1-ND/2619209","_","_"
"CAPA_3300n_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J335K050BC","445-5946","http://www.digikey.com/product-detail/en/C1005X5R0J335K050BC/445-5946-1-ND/2443986","_","_"
"CAPA_3300n_0402_6.3_10%_X5R","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J335K050BC","445-5946","http://www.digikey.com/product-detail/en/C1005X5R0J335K050BC/445-5946-1-ND/2443986","_","_"
"CAPA_3.3u_0402______","Dipoles_SMD:C_0402","http://product.tdk.com/en/catalog/datasheets/mlcc_commercial_general_en.pdf","TDK","C1005X5R0J335K050BC","445-5946","http://www.digikey.com/product-detail/en/C1005X5R0J335K050BC/445-5946-1-ND/2443986","_","_"
