# KEY," Footprint","Datasheet","MFN","MFP","DigiPN","DigiPL","MouserPN","MouserPL"
RES_7.5_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04027R50FKED","541-7.50LLCT","http://www.digikey.com/product-detail/en/CRCW04027R50FKED/541-7.50LLCT-ND/1961983","_","_"
RES_8.2_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04028R20FKED","541-8.20LLCT","http://www.digikey.com/product-detail/en/CRCW04028R20FKED/541-8.20LLCT-ND/1961987","_","_"
RES_9.1_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW04029R10FKED","541-9.10LLCT","http://www.digikey.com/product-detail/en/CRCW04029R10FKED/541-9.10LLCT-ND/1961993","_","_"
RES_10_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040210R0FKED","541-10.0LCT","http://www.digikey.com/product-detail/en/CRCW040210R0FKED/541-10.0LCT-ND/1182895","_","_"
RES_10.0_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040210R0FKED","541-10.0LCT","http://www.digikey.com/product-detail/en/CRCW040210R0FKED/541-10.0LCT-ND/1182895","_","_"
RES_11_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040211R0FKED","541-11.0LCT","http://www.digikey.com/product-detail/en/CRCW040211R0FKED/541-11.0LCT-ND/1182899","_","_"
RES_12_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040212R0FKED","541-12.0LCT","http://www.digikey.com/product-detail/en/CRCW040212R0FKED/541-12.0LCT-ND/1182903","_","_"
RES_13_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040213R0FKED","541-13.0LCT","http://www.digikey.com/product-detail/en/CRCW040213R0FKED/541-13.0LCT-ND/1182907","_","_"
RES_15_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040215R0FKED","541-15.0LCT","http://www.digikey.com/product-detail/en/CRCW040215R0FKED/541-15.0LCT-ND/1182913","_","_"
RES_16_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040216R0FKED","541-16.0LCT","http://www.digikey.com/product-detail/en/CRCW040216R0FKED/541-16.0LCT-ND/1182916","_","_"
RES_18_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040218R0FKED","541-18.0LCT","http://www.digikey.com/product-detail/en/CRCW040218R0FKED/541-18.0LCT-ND/1182922","_","_"
RES_20_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040220R0FKED","541-20.0LCT","http://www.digikey.com/product-detail/en/CRCW040220R0FKED/541-20.0LCT-ND/1182927","_","_"
RES_20.0_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040220R0FKED","541-20.0LCT","http://www.digikey.com/product-detail/en/CRCW040220R0FKED/541-20.0LCT-ND/1182927","_","_"
RES_22_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040222R0FKED","541-22.0LCT","http://www.digikey.com/product-detail/en/CRCW040222R0FKED/541-22.0LCT-ND/1182931","_","_"
RES_24_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040224R0FKED","541-24.0LCT","http://www.digikey.com/product-detail/en/CRCW040224R0FKED/541-24.0LCT-ND/1182936","_","_"
RES_27_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040227R0FKED","541-27.0LCT","http://www.digikey.com/product-detail/en/CRCW040227R0FKED/541-27.0LCT-ND/1182942","_","_"
RES_30_0402,"Resistors_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW040230R0FKED","541-30.0LCT","http://www.digikey.com/product-detail/en/CRCW040230R0FKED/541-30.0LCT-ND/1182947","_","_"
