KEY,"Footprint","Datasheet","MFN","MFP","D1PN","D1PL","D2PN","D2PL"
RES_270_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402270RFKED","541-270LCT","http://www.digikey.com/product-detail/en/CRCW0402270RFKED/541-270LCT-ND/1183056","_","_"
RES_300_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402300RFKED","541-300LCT","http://www.digikey.com/product-detail/en/CRCW0402300RFKED/541-300LCT-ND/1183061","_","_"
RES_330_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402330RFKED","541-330LCT","http://www.digikey.com/product-detail/en/CRCW0402330RFKED/541-330LCT-ND/1183066","_","_"
RES_360_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402360RFKED","541-360LCT","http://www.digikey.com/product-detail/en/CRCW0402360RFKED/541-360LCT-ND/1183071","_","_"
RES_390_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402390RFKED","541-390LCT","http://www.digikey.com/product-detail/en/CRCW0402390RFKED/541-390LCT-ND/1183075","_","_"
RES_430_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402430RFKED","541-430LCT","http://www.digikey.com/product-detail/en/CRCW0402430RFKED/541-430LCT-ND/1183080","_","_"
RES_470_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402470RFKED","541-470LCT","http://www.digikey.com/product-detail/en/CRCW0402470RFKED/541-470LCT-ND/1183085","_","_"
RES_510_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402510RFKED","541-510LCT","http://www.digikey.com/product-detail/en/CRCW0402510RFKED/541-510LCT-ND/1183089","_","_"
RES_560_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402560RFKED","541-560LCT","http://www.digikey.com/product-detail/en/CRCW0402560RFKED/541-560LCT-ND/1183094","_","_"
RES_620_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402620RFKED","541-620LCT","http://www.digikey.com/product-detail/en/CRCW0402620RFKED/541-620LCT-ND/1183100","_","_"
RES_680_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402680RFKED","541-680LCT","http://www.digikey.com/product-detail/en/CRCW0402680RFKED/541-680LCT-ND/1183104","_","_"
RES_750_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402750RFKED","541-750LCT","http://www.digikey.com/product-detail/en/CRCW0402750RFKED/541-750LCT-ND/1183109","_","_"
RES_820_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402820RFKED","541-820LCT","http://www.digikey.com/product-detail/en/CRCW0402820RFKED/541-820LCT-ND/1183113","_","_"
RES_910_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402910RFKED","541-910LCT","http://www.digikey.com/product-detail/en/CRCW0402910RFKED/541-910LCT-ND/1183119","_","_"
RES_0.1k_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402100RFKED","541-100LCT","http://www.digikey.com/product-detail/en/CRCW0402100RFKED/541-100LCT-ND/1183009","_","_"
RES_0.10k_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402100RFKED","541-100LCT","http://www.digikey.com/product-detail/en/CRCW0402100RFKED/541-100LCT-ND/1183009","_","_"
RES_0.11k_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402110RFKED","541-110LCT","http://www.digikey.com/product-detail/en/CRCW0402110RFKED/541-110LCT-ND/1183013","_","_"
RES_0.12k_0402_1/16_1%,"Dipoles_SMD:R_0402","http://www.vishay.com/docs/20035/dcrcwe3.pdf","Vishay","CRCW0402120RFKED","541-120LCT","http://www.digikey.com/product-detail/en/CRCW0402120RFKED/541-120LCT-ND/1183017","_","_"
